Company,Ticker,PE,EPS,ROE,DebtEquity,RevenueGrowth
Ambica Agarbathies & Aroma industries Limited,AMBICAAGAR.NS,87.655174,0.29,0.00472,74.724,0.033
Ambika Cotton Mills Limited,AMBIKCO.NS,11.77193,108.3,0.06775,,-0.004
Ambuja Cements Limited,AMBUJACEM.NS,24.146715,22.97,0.11124,1.829,0.221
AMD Industries Limited,AMDIND.NS,,-1.61,-0.0196,53.424,0.094
Amj Land Holdings Limited,AMJLAND.NS,9.831702,5.11,0.09024,,0.126
Amines & Plasticizers Limited,AMNPLST.NS,29.13526,6.58,0.14319,11.324,-0.201
Amrutanjan Health Care Limited,AMRUTANJAN.NS,34.905563,19.59,0.17722,0.565,0.071
Anand Rathi Wealth Limited,ANANDRATHI.NS,73.379295,41.34,0.49627998,9.912,0.231
Anant Raj Limited,ANANTRAJ.NS,38.517365,14.4,0.119169995,12.727,0.23
ANDHRA PAPER LIMITED,ANDHRAPAP.NS,64.689316,1.03,0.010620001,13.63,-0.162
The Andhra Sugars Limited,ANDHRSUGAR.NS,16.11879,4.63,0.03744,0.427,0.131
Angel One Limited,ANGELONE.NS,29.786371,83.79,0.14078,76.349,-0.23
Anik Industries Limited,ANIKINDS.NS,91.789474,0.57,0.00382,4.702,1.579
Ankit Metal & Power Limited,ANKITMETAL.NS,,-18.2,,,-0.255
Anmol India Limited,ANMOL.NS,10.050725,1.38,0.07126,185.097,0.229
Ansal Properties & Infrastructure Limited,ANSALAPI.NS,,-10.1,,,0.71
Antelopus Selan Energy Limited,ANTELOPUS.NS,9.564919,43.9,,,
Antarctica Limited,ANTGRAPHIC.NS,,-0.03,0.07565,65.28,11.587
Anthem Biosciences Limited,ANTHEM.NS,70.92733,9.22,0.20826,3.997,0.048
Anuh Pharma Limited,ANUHPHR.NS,20.862694,3.86,0.122889996,0.07,0.12
The Anup Engineering Limited,ANUP.NS,37.207626,59.77,0.20268999,24.782,0.203
Anupam Rasayan India Limited,ANURAS.NS,97.046295,13.61,0.069409996,37.505,1.488
Apar Industries Limited,APARINDS.NS,36.896816,233.76,0.20971,14.499,0.231
Anjani Portland Cement Limited,APCL.NS,,-14.25,-0.18403,223.154,0.592
Apcotex Industries Limited,APCOTEXIND.NS,26.577635,14.04,0.12952,23.281,-0.041
Apex Frozen Foods Limited,APEX.NS,37.982094,7.26,0.04533,7.972,0.195
APL Apollo Tubes Limited,APLAPOLLO.NS,49.9894,37.73,0.2481,15.534,0.091
Alembic Pharmaceuticals Limited,APLLTD.NS,26.367575,32.32,0.12380999,28.004,0.159
Apollo Micro Systems Limited,APOLLO.NS,109.20407,2.45,0.09664,33.483,0.402
Apollo Hospitals Enterprise Limited,APOLLOHOSP.NS,61.588776,116.19,0.19795,83.606,0.128
Apollo Pipes Limited,APOLLOPIPE.NS,46.175114,6.51,0.03255,7.855,-0.059
Apollo Tyres Limited,APOLLOTYRE.NS,40.496395,12.49,0.05313,29.09,0.061
Apollo Sindoori Hotels Limited,APOLSINHOT.NS,28.881577,42.56,0.07571,53.838,0.108
